STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (Âµmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,date
2272.0,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.0,6.7,6.6,118.0,1.0,0.22,1104.0,3496.0,2012,2012-02-06
1545.0,RIVER MADAI AT DABOS NAN  VALPOI,GOA,28.0,7.4,6.8,80.0,1.3,0.06,274.0,1404.0,2012,2012-02-10
2274.0,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.0,4.5,6.6,250.0,2.4,0.16,1572.0,5889.0,2012,2012-02-11
2271.0,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28.0,6.1,6.9,74.0,1.8,0.19,1074.0,3937.0,2012,2012-02-12
2273.0,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30.0,5.9,7.3,44.0,1.6,0.14,962.0,2794.0,2012,2012-02-13
3183.0,"SAL AT KHAREBAND, MARGAO",GOA,30.0,2.4,6.5,195.0,4.8,0.35,7980.0,14217.0,2012,2012-02-15
3184.0,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31.0,4.0,6.8,207.0,1.8,0.34,818.0,2280.0,2012,2012-02-16
3190.0,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29.0,5.4,7.6,40.0,1.6,0.07,290.0,1330.0,2012,2012-02-18
3191.0,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.0,5.3,7.6,41.0,1.4,0.08,952.0,2517.0,2012,2012-02-19
1547.0,RIVER TALPONA AT CANACONA,GOA,29.0,7.0,6.9,54.0,0.8,0.21,667.0,3059.0,2012,2012-02-20
3188.0,RIVER TIRACOL AT TIRACOL,GOA,29.0,5.9,7.7,44.0,2.1,0.08,1200.0,831.0,2012,2012-02-21
1544.0,VALVANT AT SANKLI NAN BICHOLIM,GOA,29.0,7.1,6.5,60.0,1.7,0.13,2926.0,8163.0,2012,2012-02-22
2651.0,"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,29.0,6.9,7.7,99.0,3.3,0.56,53.0,123.0,2012,2012-02-24
1461.0,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,30.0,6.6,7.9,123.0,3.2,0.52,44.0,104.0,2012,2012-02-25
2653.0,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",MAHARASHTRA,27.0,6.6,7.7,220.0,3.6,0.65,25.0,77.0,2012,2012-02-27
2654.0,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.0,6.8,7.7,219.0,3.4,0.63,23.0,75.0,2012,2012-03-01
1092.0,KALU AT ATALE VILLAGE,MAHARASHTRA,27.0,4.8,7.2,5429.0,8.4,2.08,177.0,408.0,2012,2012-03-02
2670.0,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,23.0,6.4,8.0,493.0,4.2,3.91,17.0,68.0,2012,2012-03-03
1152.0,KUNDALIKA AT ROHA CITY,MAHARASHTRA,29.0,6.8,7.6,100.0,3.0,0.54,124.0,295.0,2012,2012-03-04
2198.0,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,29.0,6.7,7.5,316.0,4.6,0.6,47.0,132.0,2012,2012-03-05
2672.0,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,29.0,6.9,7.7,84.0,3.1,0.42,69.0,168.0,2012,2012-03-06
2676.0,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,28.0,6.9,7.9,312.0,2.7,1.58,4.0,107.0,2012,2012-03-07
1151.0,PATALGANGA AT SHILPHATA,MAHARASHTRA,29.0,6.8,7.5,146.0,3.0,0.6,124.0,241.0,2012,2012-03-08
1462.0,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,29.0,6.7,7.3,127.0,2.9,0.59,100.0,209.0,2012,2012-03-09
2685.0,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,29.0,5.6,6.9,432.0,4.5,1.72,58.0,173.0,2012,2012-03-10
2686.0,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,29.0,6.5,7.3,126.0,3.0,0.59,132.0,284.0,2012,2012-03-11
2687.0,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,30.0,7.1,7.5,128.0,3.0,0.6,136.0,297.0,2012,2012-03-12
2688.0,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,30.0,6.4,7.3,129.0,3.1,0.6,68.0,191.0,2012,2012-03-14
2689.0,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,29.0,6.9,7.7,129.0,2.9,0.55,135.0,268.0,2012,2012-03-16
2696.0,"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,25.0,7.0,7.9,153.0,2.9,0.55,30.0,86.0,2012,2012-03-17
2199.0,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,30.0,6.4,7.6,10165.0,3.7,2.14,5.0,139.0,2012,2012-03-18
2701.0,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,30.0,6.9,7.7,307.0,2.8,3.6,4.0,123.0,2012,2012-03-19
2702.0,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,31.0,6.3,7.7,322.0,3.5,1.1,4.0,116.0,2012,2012-03-20
2703.0,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,30.0,6.5,7.5,5835.0,3.4,1.72,4.0,126.0,2012,2012-03-22
2704.0,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,30.0,6.3,7.4,9245.0,4.7,2.0,4.0,134.0,2012,2012-03-23
2706.0,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,28.0,6.5,8.1,1907.0,4.0,0.55,46.0,115.0,2012,2012-03-24
2707.0,"SURYA AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,28.0,7.0,8.0,1896.0,3.5,0.64,190.0,245.0,2012,2012-03-26
2708.0,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,28.0,7.0,8.0,206.0,2.9,0.56,31.0,74.0,2012,2012-03-27
2709.0,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.0,6.8,7.8,239.0,3.3,0.56,33.0,77.0,2012,2012-03-28
1093.0,ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA,27.0,6.4,7.6,152.0,3.2,0.96,62.0,142.0,2012,2012-04-01
1094.0,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,26.0,6.7,7.7,146.0,3.0,0.89,30.0,73.0,2012,2012-04-02
2162.0,ULHAS ATJAMBHUL WATER WORKS,MAHARASHTRA,27.0,6.7,7.6,137.0,2.9,0.76,24.0,64.0,2012,2012-04-04
2712.0,"VAITARNA NR RD BDG, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,28.0,6.6,7.8,228.0,3.5,0.57,30.0,79.0,2012,2012-04-05
2164.0,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23.0,7.0,7.7,409.0,2.4,0.93,4.0,112.0,2012,2012-04-06
2713.0,"VASHISHTI  AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL,KHERDI,RATNAGIRI",MAHARASHTRA,22.0,6.8,7.6,263.0,2.9,0.81,4.0,123.0,2012,2012-04-07
2714.0,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23.0,6.9,7.5,338.0,2.3,3.93,4.0,108.0,2012,2012-04-09
1342.0,ACHENKOIL AT THUMPAMON,KERALA,26.0,7.0,7.2,79.0,0.8,0.62,279.0,637.0,2012,2012-04-10
1443.0,ACHENKOIL AT CHENNITHULA,KERALA,26.0,6.6,7.0,67.0,1.1,0.53,275.0,670.0,2012,2012-04-11
3465.0,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,26.0,6.6,7.3,59.0,0.7,0.57,281.0,541.0,2012,2012-04-12
3466.0,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,26.0,6.2,7.3,66.0,0.8,0.55,303.0,609.0,2012,2012-04-13
2297.0,ANCHARAKANDY AT MERUVAMBA,KERALA,26.0,7.1,7.0,67.0,1.0,0.34,170.0,538.0,2012,2012-04-14
2319.0,ANCHARAKANDY AT MERUVAMBA,KERALA,26.0,7.0,6.7,5341.0,1.1,0.37,158.0,528.0,2012,2012-04-15
2286.0,R AYROOR AT AYROOR BRIDGE,KERALA,29.0,6.7,7.3,89.0,1.1,0.35,1163.0,2025.0,2012,2012-04-16
2331.0,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.0,6.2,7.3,136.0,1.0,0.46,296.0,676.0,2012,2012-04-17
2332.0,R BHARATHAPUZHA AT PATTAMBI,KERALA,28.0,7.1,8.1,212.0,0.9,0.56,524.0,992.0,2012,2012-04-18
1154.0,CHALAKUDY AT PULICKALKANANDAVU,KERALA,29.0,6.3,6.3,134.0,1.2,0.67,224.0,780.0,2012,2012-04-19
20.0,CHALIYAR AT KOOLIMADU,KERALA,26.0,7.3,7.2,76.0,0.6,0.31,468.0,893.0,2012,2012-04-20
21.0,CHALIYAR AT CHUNGAPALLY,KERALA,26.0,7.0,7.3,11041.0,0.9,0.29,256.0,503.0,2012,2012-04-21
3464.0,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,28.0,6.8,7.1,75.0,0.8,0.5,693.0,1169.0,2012,2012-04-22
1572.0,CHANDRAGIRI AT PADIYATHADKA,KERALA,29.0,7.4,7.2,61.0,0.7,0.11,54.0,255.0,2012,2012-04-23
2295.0,R CORAPUZHA AT KANAYANKODE,KERALA,26.0,6.1,7.5,14083.0,1.4,0.25,920.0,2686.0,2012,2012-04-24
1564.0,"R ITHIKKARA AT AYUR, KERALA",KERALA,26.0,6.6,7.2,92.0,0.8,0.77,332.0,660.0,2012,2012-04-25
2287.0,R ITHIKKARA AT ITHIKKARA,KERALA,25.0,6.6,7.2,1348.0,0.8,1.01,392.0,810.0,2012,2012-04-26
1566.0,R KADALUNDI AT THIRURANGADY,KERALA,29.0,6.0,6.7,95.0,1.2,0.29,253.0,680.0,2012,2012-04-27
2293.0,R KADALUNDI AT HAJIRAPPALLY,KERALA,29.0,6.6,6.8,78.0,1.0,0.2,275.0,626.0,2012,2012-04-28
42.0,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25.0,7.1,7.2,61.0,1.0,0.34,251.0,608.0,2012,2012-05-01
3460.0,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27.0,6.6,8.0,310.0,1.1,0.54,517.0,783.0,2012,2012-05-02
3458.0,KARAPUZHA DAM AT WAYANAD,KERALA,27.0,7.0,7.1,97.0,0.8,0.35,45.0,77.0,2012,2012-05-03
1571.0,R KARINGODE AT KAKKADAVU,KERALA,29.0,7.3,7.0,51.0,0.7,0.18,65.0,258.0,2012,2012-05-04
3471.0,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,29.0,7.0,7.4,55.0,0.9,0.32,800.0,1400.0,2012,2012-05-05
2289.0,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29.0,6.1,6.8,67.0,1.1,0.58,80.0,394.0,2012,2012-05-06
2301.0,R KAVVAI AT KUTTIYOL PALAM,KERALA,27.0,7.0,6.7,61.0,1.3,0.28,168.0,248.0,2012,2012-05-07
2291.0,KEECHERI AT VADAKKANCHERY BDG,KERALA,30.0,5.2,6.9,81.0,1.5,0.37,71.0,465.0,2012,2012-05-08
2326.0,R KORAYAR AT KANJIKODE,KERALA,27.0,6.1,8.0,510.0,1.1,0.72,784.0,1572.0,2012,2012-05-10
1569.0,R KUPPAM AT THALIPARAMBA,KERALA,27.0,6.5,6.9,12150.0,1.8,0.52,711.0,1481.0,2012,2012-05-12
2298.0,R KUPPAM AT RAYAROM,KERALA,25.0,7.9,7.2,50.0,1.1,0.3,319.0,845.0,2012,2012-05-13
1567.0,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25.0,7.5,6.9,34.0,0.9,0.14,110.0,256.0,2012,2012-05-14
1568.0,"R MAHE AT VALAYAM, KERALA",KERALA,26.0,7.0,7.4,72.0,1.0,0.38,496.0,897.0,2012,2012-05-15
2285.0,R MAMOM AT MAMOM BRIDGE,KERALA,29.0,7.3,7.3,99.0,0.9,0.23,1088.0,1788.0,2012,2012-05-16
1340.0,MANIMALA  AT KALLOOPARA,KERALA,27.0,7.5,6.9,125.0,1.6,0.45,970.0,1400.0,2012,2012-05-17
1384.0,MANIMALA AT THONDRA,KERALA,27.0,6.8,6.9,116.0,1.7,0.4,825.0,1260.0,2012,2012-05-18
3459.0,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.0,5.8,7.3,107.0,0.9,0.88,232.0,343.0,2012,2012-05-19
2307.0,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28.0,7.1,7.2,85.0,0.8,0.31,67.0,184.0,2012,2012-05-22
1339.0,MEENACHIL AT KIDANGOOR,KERALA,26.0,6.8,7.1,58.0,0.7,0.46,2010.0,3460.0,2012,2012-05-23
2304.0,R MOGRAL AT MOGRAL BR.,KERALA,29.0,5.7,7.3,13197.0,1.5,0.35,46.0,144.0,2012,2012-05-24
43.0,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27.0,6.7,7.1,58.0,1.2,0.39,964.0,1739.0,2012,2012-05-25
2302.0,NEELASWARAM AT NAMBIARKAL ,KERALA,28.0,7.0,6.9,3453.0,0.9,0.17,56.0,278.0,2012,2012-05-27
1570.0,R NEELESWARAM AT HOSDURG,KERALA,29.0,6.5,7.0,14369.0,1.3,0.27,63.0,175.0,2012,2012-05-28
1563.0,R NEYYAR AT AMARAVILA,KERALA,28.0,6.6,7.3,70.0,1.4,0.39,838.0,1875.0,2012,2012-06-01
2284.0,R NEYYAR AT ARUVIPURAM,KERALA,29.0,7.0,7.3,60.0,0.8,0.18,631.0,1813.0,2012,2012-06-02
2288.0,R PALLICKAL AT NELLIMUKAL,KERALA,26.0,6.3,7.2,97.0,0.8,0.56,357.0,880.0,2012,2012-06-03
1156.0,PAMBA AT CHENGANNUR,KERALA,28.0,6.0,7.0,63.0,1.1,1.04,243.0,493.0,2012,2012-06-04
1341.0,PAMBA AT THAKAZHY,KERALA,28.0,4.4,7.1,113.0,1.5,1.17,358.0,722.0,2012,2012-06-05
1565.0,PAMBA DOWN,KERALA,28.0,4.5,7.2,79.0,1.0,1.04,279.0,537.0,2012,2012-06-06
17.0,PERIYAR NEAR ALWAYENANELOOR,KERALA,28.0,5.1,6.9,1789.0,2.1,0.68,408.0,1946.0,2012,2012-06-07
18.0,PERIYAR AT KALADY,KERALA,27.0,7.5,7.2,36.0,1.1,0.27,282.0,1134.0,2012,2012-06-08
1338.0,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,28.0,6.8,7.0,59.0,1.3,0.32,648.0,2267.0,2012,2012-06-09
2333.0,PERIYAR AT MUPPATHADAM,KERALA,28.0,6.8,6.9,114.0,1.4,0.23,388.0,1785.0,2012,2012-06-10
2334.0,RIVER PERIYAR AT PATHALAM,KERALA,28.0,5.9,6.8,1108.0,2.2,0.62,386.0,1520.0,2012,2012-06-11
2335.0,R PERIYAR AT KALAMASSERY,KERALA,28.0,4.9,6.7,88.0,2.2,0.28,480.0,2200.0,2012,2012-06-12
2336.0,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.0,6.8,6.9,1686.0,1.4,0.25,236.0,1223.0,2012,2012-06-14
3468.0,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.0,7.1,6.9,45.0,1.2,0.29,451.0,1636.0,2012,2012-06-15
2300.0,PERUVAMBA AT CHANDAPPURA,KERALA,26.0,6.9,6.6,56.0,1.1,0.3,177.0,542.0,2012,2012-06-16
2303.0,R PULLUR AT PULLUR BR.,KERALA,28.0,6.5,6.3,49.0,1.0,0.22,87.0,323.0,2012,2012-06-17
2290.0,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.0,4.9,6.6,169.0,2.1,0.76,250.0,1241.0,2012,2012-06-18
2305.0,R SHRIYA AT ANGADIMOGARU,KERALA,28.0,6.9,7.1,63.0,0.9,0.16,152.0,336.0,2012,2012-06-19
2296.0,THALLASSERY AT PATHIPPALAM,KERALA,26.0,6.6,6.7,69.0,0.8,0.38,185.0,464.0,2012,2012-06-20
2292.0,THIRUR AT THALAKKADATHUR BDG,KERALA,29.0,4.5,6.6,6381.0,2.1,0.34,196.0,435.0,2012,2012-06-21
2306.0,R UPPALA AT  UPPALA BR.,KERALA,29.0,6.2,7.2,9326.0,1.3,0.22,61.0,141.0,2012,2012-06-22
3473.0,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,27.0,6.6,7.1,15158.0,1.1,0.26,126.0,810.0,2012,2012-06-24
1442.0,VAMANAPURAM,KERALA,29.0,6.3,7.3,74.0,1.2,0.29,725.0,1813.0,2012,2012-06-25
1448.0,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,27.0,6.0,7.6,429.0,1.1,1.1,3.0,362.0,2012,2012-06-27
2352.0,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27.0,6.0,7.8,308.0,1.1,1.47,3.0,343.0,2012,2012-06-28
3080.0,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,20.0,5.8,7.4,505.0,0.6,0.73,4.0,1517.0,2012,2012-07-01
3081.0,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,24.0,6.1,7.5,465.0,0.5,0.34,4.0,1458.0,2012,2012-07-03
1444.0,KALI AT D/S WEST COAST PAPER MILL,KARNATAKA,28.0,6.4,7.1,183.0,2.3,0.62,209.0,398.0,2012,2012-07-04
2780.0,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,27.0,7.1,7.4,135.0,1.9,0.72,419.0,995.0,2012,2012-07-05
1894.0,KUMARADHARA NAN U/S OF UPPINAGADY TOWN B/C WITH RIVER NETHRAVATHI,KARNATAKA,32.0,6.7,7.2,103.0,1.0,0.52,11.0,70.0,2012,2012-07-07
1892.0,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,30.0,6.8,7.1,106.0,1.0,0.52,13.0,137.0,2012,2012-07-08
2423.0,"BUDHABALANGA, D/S OF BARIPADA",ORISSA,22.0,7.8,7.9,213.0,1.5,0.35,7742.0,15083.0,2012,2012-07-09
2424.0,BUDHABALANGA AT BALASORE D/S,ORISSA,22.0,7.7,8.1,312.0,2.0,0.75,12675.0,32017.0,2012,2012-07-10
2425.0,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,24.0,6.9,7.6,99.0,1.6,1.39,3066.0,5395.0,2012,2012-07-11
2422.0,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,27.0,7.3,8.0,230.0,1.6,0.69,2346.0,4348.0,2012,2012-07-12
1642.0,NAGAVALLI AT JAYKAYPUR D/S,ORISSA,26.0,6.8,8.1,264.0,2.6,1.16,2428.0,5142.0,2012,2012-07-14
1643.0,NAGAVALLI AT RAYAGADA D/S,ORISSA,25.0,7.2,8.1,272.0,3.1,1.46,2196.0,4586.0,2012,2012-07-15
1455.0,RUSHIKULYA AT GANJAM U/S,ORISSA,28.0,8.0,8.3,312.0,1.4,0.73,1618.0,4319.0,2012,2012-07-16
2426.0,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,26.0,7.0,8.0,199.0,1.8,1.11,1503.0,3573.0,2012,2012-07-17
2427.0,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,28.0,7.2,8.1,201.0,1.6,0.36,1239.0,2324.0,2012,2012-07-18
1685.0,ARASALAR RIVER KARAIKAL REGION,PONDICHERRY,31.0,6.8,7.8,505.0,2.1,0.02,233.0,465.0,2012,2012-07-19
2444.0,CORINGA RIVER,PONDICHERRY,25.0,6.5,7.9,11170.0,3.0,0.3,233.0,465.0,2012,2012-07-20
2442.0,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.9,7.4,4990.0,3.0,0.37,233.0,465.0,2012,2012-07-21
2443.0,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.8,8.1,1516.0,1.8965,0.28,233.0,465.0,2012,2012-07-23
1450.0,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,27.0,6.8,7.5,890.0,2.1,0.51,274.0,589.0,2012,2012-07-24
1159.0,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,23.0,7.3,7.6,160.0,1.9,0.06,32.0,89.0,2012,2012-07-25
1160.0,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,25.0,7.0,7.7,111.0,2.2,0.08,53.0,131.0,2012,2012-07-26
1161.0,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,26.0,6.7,7.7,139.0,3.1,0.22,123.0,300.0,2012,2012-07-27
1162.0,TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,29.0,7.2,7.2,288.0,2.1,0.14,33.0,91.0,2012,2012-07-28
1328.0,TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,24.0,7.0,7.1,95.0,1.9,0.08,47.0,118.0,2012,2012-08-01
1329.0,TAMBIRAPARANI AT RAIL BDG. ,TAMILNADU,24.0,7.0,7.5,84.0,1.7,0.06,32.0,87.0,2012,2012-08-03
1330.0,TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,29.0,7.4,7.0,3101.0,15.6,0.15,76.0,174.0,2012,2012-08-04
3025.0,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,29.0,7.2,7.3,510.0,2.9,0.08,46.0,123.0,2012,2012-08-05
3026.0,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,24.0,7.1,7.4,88.0,1.8,0.07,34.0,90.0,2012,2012-08-06
3027.0,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,29.0,7.2,6.9,338.0,3.8,0.07,44.0,104.0,2012,2012-08-07
3028.0,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,26.0,6.7,7.6,162.0,3.3,0.16,90.0,249.0,2012,2012-08-08
3029.0,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,27.0,6.7,7.6,182.0,4.1,0.15,92.0,251.0,2012,2012-08-10
1885.0,GHAGGAR AT D/S OF SURAJPUR,HARYANA,27.0,6.8,8.0,414.0,3.1,0.88,233.0,465.0,2012,2012-08-11
